"Study_#","Source","Publication_year","Link","Country","M49_Code","Region","Category","WB_Income_Category","Study_area_level","Study_area_name","Country_Population_Millions","Household","Food_Service","Retail","Method","Confidence_Classification","Description","Household_Diary?","Edible_Waste_Only?","Year(s)_covered","FW_Share_estimate","Share_note","Edible_Avoidable_Share","Edible_Avoidable_Note"," Mass_estimate ","Original_Mass_Measure"," Time_Adjustment_Y "," Weight_Adjustment_T "," Standardised_Mass_tonnes/year ","Derived_Estimate_Needed?"," Study_Year_Country_Population "," Study_Year_Subnational_Population ","Derived_Normalised_kg/capita/year","Normalised_Mass_Estimate","Original_Normalised_Mass_Measure","Normalised_Weight_Adjustment_kg","Normalised_Time_Adjustment_Y","Standardised_Normalised_Mass_kg/capita/year","Preferred_estimate_kg/capita","Household_Diary_Adjustment","Household_Inedible_Adjustment","Food_Service_Inedible_Adjustment","Retail_Inedible_Adjustment","Total_Adjustment","Final_kg/cap/yr_estimate"
6,"Household solid waste characteristics and management in Chittagong, Bangladesh",2008,"https://doi.org/10.1016/j.wasman.2007.06.013","Bangladesh",50,"Southern Asia","Developing","LMC","Municipality & Sub-national region","Chittagong",163.0462,1,,,"Waste Composition Analysis",2,"75 households across five socioeconomic groups in the Rahman Nagar Residential Area had their waste sampled. The length of sampling is unknown. The small sample with unkown duration means we cannot have high confidence in the results.",,,2006,62%,"Share of waste which is food waste, distinct from organic",,,,,,,,," -   "," -   ",,0.16,"kg / capita / day",0.16,56.61,57,57,1.00,1.00,1.00,1.00,1.00,57
7,"The Study on the Solid Waste Management in Dhaka City",2005,"https://openjicareport.jica.go.jp/pdf/11785243.pdf","Bangladesh",50,"Southern Asia","Developing","LMC","Municipality & Sub-national region","Dhaka",163.0462,,1,,"Waste Composition Analysis",2,"The JICA study team conducted waste generation source surveys in both the dry and wet season. The exact number of restaurants is not known, only that 50 non-households were sampled across 8 days in each season (this figure will include other buildings, such as shops or offices). It was scaled to the whole of Dhaka based on the Revenue Department's licensing list. Being incomplete in its sectoral coverage and being quite a dated estimate limit its robustness. Note: the JICA paper does also estimate the waste for hotels, which would be considered here, however the table defining the share of food waste from hotels groups it with shops, which would otherwise be considered retail. To avoid this overlap they have not been documented.",,,2004,97%,"Share of waste which is food waste, distinct from organic",,," 52 ","Tonnes / day",19033,19033," 19,033 ",1," -   "," 5,700,000 ",3,22.97,"kg / establishment / day",22.97,8388.70,,3,1.00,1.00,1.00,1.00,1.00,3
8,"Food Waste and Food Losses: Prevention and Valorisation",2017,"https://www.voedselverlies.be/sites/default/files/atoms/files/Monitor_EN_final.pdf","Belgium",56,"Western Europe","Developed","HIC","Municipality & Sub-national region","Flanders",11.5393,,,1,"Data from industry",2,"A combination of data from the Integrated Environmental Report and sector surveys by COMEOS and Buurtsuper.be. Where these were national surveys, the authors adjusted to Flanders based on sales figures. Their figures have been scaled for the whole of Belgium, assuming that Flanders can be considered representative of the whole nation. 3% of this sector is estimated to go to animal feed, which is not considered waste. The numbers have been adjusted to reflect this.",,,2015,,,69%,"Waste presented separately as edible (43391) and inedible (21437) in Table 5. "," 62,883 ","Tonnes / year",62883,62883," 62,883 ",1," -   "," 6,473,029 ",10,,,,,,10,1.00,1.00,1.00,1.00,1.00,10
8,"Food Waste and Food Losses: Prevention and Valorisation",2017,"https://www.voedselverlies.be/sites/default/files/atoms/files/Monitor_EN_final.pdf","Belgium",56,"Western Europe","Developed","HIC","Municipality & Sub-national region","Flanders",11.5393,,1,,"Data from industry",2,"The data comes from a range of sources, many of which are commercial and therefore not transparently disclosed. The authors collaborated with food chain partners (horeca Vlaanderen and Unie Belgische Catering) and used existing surveys including Annual Foodservice Monitor and the Integrated Environmental Report. These sources allowed a per person daily waste to be derived, which was then scaled. It covers both hospitality (commercial) and catering (non-commercial). Hospitality and catering are presented separately in the paper, they are summed together here. Their figures have been scaled for the whole of Belgium, assuming that Flanders can be considered representative of the whole nation.",,,2015,,,60%,"Hospitality and Catering were presented separately. In both cases, edible and inedible cases were presented separately. For Hospitality, the edible fraction was 28%. In catering, the edible fraction was 95%. The edible share calculated is based on the tonnes of edible waste generated across all of food service / tonnes total food waste, and therefore accounts for the relative size of hospitality and catering subsectors."," 127,545 ","Tonnes / year",127545,127545," 127,545 ",1," -   "," 6,473,029 ",20,,,,,,20,1.00,1.00,1.00,1.00,1.00,20
8,"Food Waste and Food Losses: Prevention and Valorisation",2017,"https://www.voedselverlies.be/sites/default/files/atoms/files/Monitor_EN_final.pdf","Belgium",56,"Western Europe","Developed","HIC","Municipality & Sub-national region","Flanders",11.5393,1,,,"Mixed method",2,"This paper combines a number of different data sources. An existing OVAM study was used for waste composition analysis in residual waste. This was combined with information from other surveys self-reporting different disposal methods to capture the share going to home compost, pets etc. and data from the Netherlands was used to inform the disposal to sink and toilet. The share which goes to feeding animals (28%) was removed as it is not considered waste, and the amount going to sinks/toilets (3%) was removed to improve comparability.",,,2015,,,47%,"Sum of edible (211858) and inedible (256447), multiplied to remove the share which is going to Animal Feed (28%) and the amount being discharged to toilets/sinks (3%). See Table 3.  Edible fraction: 45%. Assumes an equal amount of edible and inedible waste gets fed to animals"," 323,130 ","Tonnes / year",323130,323130," 323,130 ",1," -   "," 6,473,029 ",50,,,,,,50,1.00,1.00,1.00,1.00,1.00,50
9,"Waste Generation and Composition Study for the Western Corridor, Belize C.A.",2011,"http://belizeswama.com/wp-content/uploads/2018/12/Waste-Generation-Composition-Study-for-Western-Corridor-Belize-C.A.-2056-OC-BL1.pdf","Belize",84,"Latin America and the Caribbean","Developing","UMC","Municipality & Sub-national region","San Ignacio / Santa Elena",0.3904,1,,,"Waste Composition Analysis",2,"174 households across three socioeconomic groups had their waste sampled, with at least 100kg collected each sampling day. Measurement was for 8 days. ",,,,49%,"Share of waste which is food waste, distinct from organic",,,,,,,,," -   "," -   ",,0.26,"kg / capita / day",0.26,95.05,95,95,1.00,1.00,1.00,1.00,1.00,95
9,"Waste Generation and Composition Study for the Western Corridor, Belize C.A.",2011,"http://belizeswama.com/wp-content/uploads/2018/12/Waste-Generation-Composition-Study-for-Western-Corridor-Belize-C.A.-2056-OC-BL1.pdf","Belize",84,"Latin America and the Caribbean","Developing","UMC","Municipality & Sub-national region","Caye Caulker",0.3904,1,,,"Waste Composition Analysis",2,"132 households across three socioeconomic groups had their waste sampled, with at least 100kg collected each sampling day. Measurement was for 8 days. ",,,,22%,"Share of waste which is food waste, distinct from organic",,,,,,,,," -   "," -   ",,0.12,"kg / capita / day",0.12,45.23,45,45,1.00,1.00,1.00,1.00,1.00,45
9,"Waste Generation and Composition Study for the Western Corridor, Belize C.A.",2011,"http://belizeswama.com/wp-content/uploads/2018/12/Waste-Generation-Composition-Study-for-Western-Corridor-Belize-C.A.-2056-OC-BL1.pdf","Belize",84,"Latin America and the Caribbean","Developing","UMC","Municipality & Sub-national region","San Pedro",0.3904,1,,,"Waste Composition Analysis",2,"169 households across three socioeconomic groups had their waste sampled, with at least 100kg collected each sampling day. Measurement was for 8 days. ",,,,23%,"Share of waste which is food waste, distinct from organic",,,,,,,,," -   "," -   ",,0.10,"kg / capita / day",0.10,36.20,36,36,1.00,1.00,1.00,1.00,1.00,36
9,"Waste Generation and Composition Study for the Western Corridor, Belize C.A.",2011,"http://belizeswama.com/wp-content/uploads/2018/12/Waste-Generation-Composition-Study-for-Western-Corridor-Belize-C.A.-2056-OC-BL1.pdf","Belize",84,"Latin America and the Caribbean","Developing","UMC","Municipality & Sub-national region","Belize City",0.3904,1,,,"Waste Composition Analysis",2,"183 households across three socioeconomic groups had their waste sampled, with at least 100kg collected each sampling day. Measurement was for 8 days. ",,,,12%,"Share of waste which is food waste, distinct from organic",,,,,,,,," -   "," -   ",,0.09,"kg / capita / day",0.09,34.21,34,34,1.00,1.00,1.00,1.00,1.00,34
10,"Intercâmbio Brasil-União Europeia sobre desperdício de alimentos: relatório final",2018,"https://www.embrapa.br/busca-de-publicacoes/-/publicacao/1105525/intercambio-brasil-uniao-europeia-sobre-desperdicio-de-alimentos-relatorio-final","Brazil",76,"Latin America and the Caribbean","Developing","UMC","Nationwide",,211.0495,1,,,"Diaries",2,"686 households participated in ""a food diary with photo analysis of wasted food"", with more households also participating in a questionnaire about consumption habits. As a diary result, it has been scaled to adjust for the measurement bias.",1,,,,,,,,,,,,," -   "," -   ",,41.60,"kg / capita / year",41.60,41.60,42,42,1.43,1.00,1.00,1.00,1.43,60
11,"National Waste Characterization Report: The Composition of Canadian Residual Municipal Solid Waste",2019,"http://publications.gc.ca/collections/collection_2020/eccc/en14/En14-405-2020-eng.pdf","Canada",124,"Northern America","Developed","HIC","Nationwide",,37.411,1,,,"Waste Composition Analysis",1,"56 different waste compositional analyses studies are analysed and averaged to form a national average. The studies analysed involved a mixture of curbside analysis and at sorting facilities. The share which is food waste has been multiplied by the total residential waste to form a food waste estimate.",,,2016,28%,"Share of waste which is food waste, distinct from organic",,," 3 ","Million tonnes / year",3,2856000," 2,856,000 ",1," 36,362,886 "," -   ",79,,,,,,79,1.00,1.00,1.00,1.00,1.00,79
12,"An Overview of the Resources and Environmental Issues from Wasted Food in Urban Catering Across China",2013,"https://doi.org/10.5814/j.issn.1674-764x.2013.04.006","China",156,"Eastern Asia","Developing","UMC","Municipality & Sub-national region","Beijing",1433.7837,1,,,"Literature",2,"The paper references Zhang et al. (2010), but does not provide sufficient methodological detail to offer high confidence.",,,2010,,,,,,,,,,," -   "," -   ",,0.07,"kg / capita / day",0.07,25.57,26,26,1.00,1.00,1.00,1.00,1.00,26
13,"Characterization, quantification and management of household solid waste: A case study in China",2015,"http://dx.doi.org/10.1016/j.resconrec.2015.03.001","China",156,"Eastern Asia","Developing","UMC","Municipality & Sub-national region","Suzhou",1433.7837,1,,,"Waste Composition Analysis",2,"140 households participated in a compositional analysis. This involved their waste being collected each day for a week, and was repeated in each season. They also completed a survey. The household sizes are considered representative of the wider city.",,,"2011-2012",66%,"Share of waste which is food waste, distinct from organic",,," 373 ","Thousand tonnes / year",373,373176," 373,176 ",," -   "," -   ",,184.29,"g / capita / day",0.18,67.31,67,67,1.00,1.00,1.00,1.00,1.00,67
14,"Rural household food waste characteristics and driving factors in China",2021,"https://doi.org/10.1016/j.resconrec.2020.105209","China",156,"Eastern Asia","Developing","UMC","Municipality & Sub-national region","Shandong",1433.7837,1,,,"Diaries",2,"207 houses across 21 villages in three prefectures (Jinan, Weifang, Dezhou) studied, tracked for 9 meals across 3 days. The weight of food recorded before cooking and after a meal's disposal to form 'meal waste' figure, but also measure 'non meal' waste (such as removal of mouldy stored items) once a day. It was a form of diary documenting this only looking at edible waste, so it is adjusted for both diary bias and the inedible share of waste.",1,1,2017,,,,,,,,,,," -   "," -   ",,7.25,"kg / capita / year",7.25,7.25,7,7,1.43,2.04,1.00,1.00,2.92,21
15,"Food waste collection and recycling for value-added products: potential applications and challenges in Hong Kong",2015,"https://doi.org/10.1007/s11356-015-4235-y","China",156,"Eastern Asia","Developing","UMC","Municipality & Sub-national region","Hong Kong",1433.7837,1,,,"Literature",2,"The paper cites the Hong Kong Environment Bureau's official statistics. It is assumed to be from Waste Compositional Analysis but is not made explicit, nor other details of the method (such as sample).",,,2013,69%,"Share of total food waste generation",,," 2,500 ","Tonnes / day",913125,913125," 913,125 ",1," -   "," 9,000,000 ",101,,,,,,101,1.00,1.00,1.00,1.00,1.00,101
16,"Survey of composition and generation rate of household wastes in Beijing, China",2009,"https://doi.org/10.1016/j.wasman.2009.05.014","China",156,"Eastern Asia","Developing","UMC","Municipality & Sub-national region","Beijing",1433.7837,1,,,"Waste Composition Analysis",2,"113 households across six districts in Beijing city had their waste collected and analysed daily for a period of 10 days.",,,2008,69%,"Share of waste which is food waste, no other organic estimate",,,,,,,,," -   "," -   ",,0.16,"kg / capita / day",0.16,58.98,59,59,1.00,1.00,1.00,1.00,1.00,59
17,"Food consumption and waste and the embedded carbon, water and ecological footprints of households in China",2015,"http://dx.doi.org/10.1016/j.scitotenv.2015.05.068","China",156,"Eastern Asia","Developing","UMC","Nationwide",,1433.7837,1,,,"Diaries",2,"Paper quantifying the carbon, water and ecological footprints of food consumed and food wasted in Chinese households. Uses the China Health and Nutrition Survey (CHNS) 2011 database, with data from 12,850 households across 2004, 2006 and 2009 using a diary methodology over three days.",1,,"2004 - 2009",,,,," 21 ","Million tonnes / year",21,21030000," 21,030,000 ",," -   "," -   ",,16.00,"kg / capita / year",16.00,16.00,16,16,1.43,1.00,1.00,1.00,1.43,23
18,"Anaerobic digestion based waste-to-energy technologies can halve the climate impact of China’s fast-growing food waste by 2040",2020,"https://doi.org/10.1016/j.jclepro.2020.123490","China",156,"Eastern Asia","Developing","UMC","Municipality & Sub-national region","Urban China Total",1433.7837,1,,,"Mixed method",2,"The household estimate uses a huge range of local MSW figures and studies estimating the share of household food waste in the entire MSW. 196 samples obtained from the literature across 2001-2016. (Supplementary Info, Table S21-2). All literature values cited repored the value Household Food Waste in MSW, though it is unclear how exactly it was disaggregated if samples were taken at landfilling or transport sites. The per capita figure only applies to the urban population as this was where the study was concentrated.",,,2018,,,,," 126 ","Million tonnes / year",126,126000000," 126,000,000 ",," -   "," 839,460,000 ",,150.00,"kg / capita / year",150.00,150.00,150,150,1.00,1.00,1.00,1.00,1.00,150
18,"Anaerobic digestion based waste-to-energy technologies can halve the climate impact of China’s fast-growing food waste by 2040",2020,"https://doi.org/10.1016/j.jclepro.2020.123490","China",156,"Eastern Asia","Developing","UMC","Municipality & Sub-national region","East China",1433.7837,,1,,"Mixed method",1,"This paper aggregates a huge number of what they term 'catering waste' papers. 47 of them in total from various areas of China. It's a mixture of surveys, official statistics, author's calculations etc. to create data on catering food waste across different regions. This is then associated to a number of correlates which are used to predict growing food waste in future. The authors worked with datapoints from a range of years and other data to form a 2019 estimate which is what we use here.",,,2018,,,,,,,,,,," -   "," -   ",,0.14,"kg / capita / day",0.14,51.87,52,52,1.00,1.00,1.00,1.00,1.00,52
18,"Anaerobic digestion based waste-to-energy technologies can halve the climate impact of China’s fast-growing food waste by 2040",2020,"https://doi.org/10.1016/j.jclepro.2020.123490","China",156,"Eastern Asia","Developing","UMC","Municipality & Sub-national region","Middle China",1433.7837,,1,,"Mixed method",1,"This paper aggregates a huge number of what they term 'catering waste' papers. 47 of them in total from various areas of China. It's a mixture of surveys, official statistics, author's calculations etc. to create data on catering food waste across different regions. This is then associated to a number of correlates which are used to predict growing food waste in future. The authors worked with datapoints from a range of years and other data to form a 2019 estimate which is what we use here.",,,2018,,,,,,,,,,," -   "," -   ",,0.14,"kg / capita / day",0.14,49.31,49,49,1.00,1.00,1.00,1.00,1.00,49
